Neurons,Learning Rate,Fold,Cicles,Accuracy Train,Accuracy Test,
C(10),0.05,1,5000,0.9680851,0.8014184,
C(10),0.05,2,5000,0.9893617,0.9539007,
C(10),0.05,3,5000,0.9219858,0.7765957,0.8439716
C(50),0.05,1,2000,0.927305,0.7695035,
C(50),0.05,2,2000,0.9858156,0.9503546,
C(50),0.05,3,2000,0.9078014,0.8049645,0.8416075333
C(50),0.05,1,5000,0.9858156,0.7730496,
C(50),0.05,2,5000,1,0.964539,
C(50),0.05,3,5000,0.9698582,0.822695,0.8534278667
C(5,5),0.05,1,2000,0.8741135,0.7553191,
C(5,5),0.05,2,2000,0.9539007,0.9113475,
C(5,5),0.05,3,2000,0.8812057,0.787234,0.8179668667
C(5,5),0.05,1,5000,0.8812057,0.7907801,
C(5,5),0.05,2,5000,0.9787234,0.9361702,
C(5,5),0.05,3,5000,0.9308511,0.7588652,0.8286051667
C(10,10),0.05,1,5000,0.9911348,0.8014184,
C(10,10),0.05,2,5000,1,0.964539,
C(10,10),0.05,3,5000,0.9769504,0.7801418,0.8486997333
C(10,10,10),0.05,1,2000,0.9255319,0.7624113,
C(10,10,10),0.05,2,2000,0.9858156,0.9468085,
C(10,10,10),0.05,3,2000,0.9521277,0.751773,0.8203309333
C(10,10,10),0.05,1,800,0.8457447,0.712766,
C(10,10,10),0.05,2,800,0.8262411,0.7943262,
C(10,10,10),0.05,3,800,0.8297872,0.7836879,0.7635933667
C(50),0.01,1,10000,0.9468085,0.7907801,
C(50),0.01,2,10000,0.9858156,0.9503546,
C(50),0.01,3,10000,0.929078,0.822695,0.8546099
C(50),0.02,1,10000,0.9893617,0.7836879,
C(50),0.02,2,10000,0.9964539,0.9609929,
C(50),0.02,3,10000,0.9698582,0.8120567,0.8522458333
C(10),0.05,1,10000,0.9875887,0.7943262,
C(10),0.05,2,10000,0.9929078,0.9574468,
C(10),0.05,3,10000,0.9450355,0.7659574,0.8392434667
